,SL,SCA,H0,Qmax,Tprom_DGF,Tmax_DGF,Tmin_DGF,PR_DGF,PR_MM
2013-08-03,2349.3,72.0,2113.8,47.7,9.3,12.7,6.1,0.0,0.0
2013-08-04,2349.3,72.0,2964.5,46.6,11.4,18.2,7.8,0.0,0.0
2013-08-05,2394.0,67.6,3059.7,48.6,12.8,20.9,6.2,0.0,0.0
2013-08-06,2394.0,67.6,3362.0,45.0,11.9,15.6,8.6,0.0,0.0
2013-08-07,2376.8,67.6,1987.9,52.0,8.6,11.0,6.5,18.3,45.5
2013-08-08,1930.8,67.6,1568.7,47.5,7.4,11.4,3.8,0.1,0.1
2013-08-09,1584.7,94.7,2722.2,47.5,8.5,15.4,2.1,0.0,0.0
2013-08-10,1665.6,93.7,3107.6,48.9,10.5,18.6,3.3,0.0,0.0
2013-08-11,1665.6,93.7,2840.0,61.1,9.5,12.8,5.9,0.1,10.6
2013-08-12,1729.4,93.8,1909.4,71.4,10.1,15.5,8.1,0.7,13.4
2013-08-13,1844.7,90.1,2580.9,55.7,10.0,17.5,3.7,0.0,0.0
2013-08-14,1827.6,87.8,4132.0,52.6,13.6,24.2,3.9,0.0,0.0
2013-08-15,1996.3,86.0,3752.1,58.0,14.6,22.9,7.3,0.0,0.0
2013-08-16,2041.0,84.5,3760.2,56.9,14.7,23.4,7.2,0.0,0.0
